,date,instrument,pct_change_m
166149,2016-04-01,600018.SH,-2.1622
166150,2016-04-01,000791.SZ,-1.561
166151,2016-04-01,600353.SH,-3.5971
166152,2016-04-01,000953.SZ,0.0
166153,2016-04-01,000039.SZ,-1.8856
166154,2016-04-01,000900.SZ,-1.1034
166155,2016-04-01,000957.SZ,-2.002
166156,2016-04-01,000416.SZ,0.2591
166157,2016-04-01,002081.SZ,2.7518
166158,2016-04-01,002204.SZ,-1.6086
166159,2016-04-01,600332.SH,-0.3062
166160,2016-04-01,000417.SZ,-2.1004
166161,2016-04-01,000899.SZ,0.0
166162,2016-04-01,600715.SH,-1.5549
166163,2016-04-01,600551.SH,-1.0995
166164,2016-04-01,600029.SH,1.1094
166165,2016-04-01,600649.SH,4.8303
166166,2016-04-01,601958.SH,-0.5089
166167,2016-04-01,600992.SH,-4.7434
166168,2016-04-01,002057.SZ,0.0
166169,2016-04-01,000678.SZ,1.8204
166170,2016-04-01,002448.SZ,0.295
166171,2016-04-01,000510.SZ,2.9112
166172,2016-04-01,002043.SZ,-1.3655
166173,2016-04-01,000718.SZ,0.0
166174,2016-04-01,000557.SZ,0.0
166175,2016-04-01,002022.SZ,-2.5641
166176,2016-04-01,600308.SH,1.0846
166177,2016-04-01,002067.SZ,-0.4525
166178,2016-04-01,002083.SZ,-1.5848
166179,2016-04-01,600010.SH,2.027
166180,2016-04-01,000402.SZ,-0.5376
166181,2016-04-01,000038.SZ,0.0
166182,2016-04-01,300461.SZ,-0.6758
166183,2016-04-01,600686.SH,-3.1144
166184,2016-04-01,002303.SZ,-0.1826
166185,2016-04-01,300441.SZ,0.0
166186,2016-04-01,000768.SZ,-0.9819
166187,2016-04-01,600307.SH,0.0
166188,2016-04-01,002142.SZ,-0.3712
166189,2016-04-01,002327.SZ,-0.8791
166190,2016-04-01,002141.SZ,1.0049
166191,2016-04-01,603188.SH,0.0
166192,2016-04-01,000685.SZ,-1.2987
166193,2016-04-01,000681.SZ,-2.6024
166194,2016-04-01,002684.SZ,0.0
166195,2016-04-01,601899.SH,0.6116
166196,2016-04-01,601699.SH,0.0
166197,2016-04-01,002294.SZ,-0.4595
166198,2016-04-01,002761.SZ,-3.9017
166199,2016-04-01,002391.SZ,-2.6452
166200,2016-04-01,600317.SH,-4.2959
166201,2016-04-01,000507.SZ,-3.2154
166202,2016-04-01,600815.SH,0.1536
166203,2016-04-01,000509.SZ,0.0
166204,2016-04-01,000978.SZ,-1.2821
166205,2016-04-01,603885.SH,2.044
166206,2016-04-01,000981.SZ,-3.5343
166207,2016-04-01,600622.SH,0.3831
166208,2016-04-01,600358.SH,-0.5158
166209,2016-04-01,300294.SZ,-2.4883
166210,2016-04-01,002020.SZ,0.4758
166211,2016-04-01,000551.SZ,-0.5513
166212,2016-04-01,000554.SZ,2.5948
166213,2016-04-01,002047.SZ,0.0
166214,2016-04-01,002735.SZ,0.2429
166215,2016-04-01,300263.SZ,-1.1607
166216,2016-04-01,600690.SH,0.9445
166217,2016-04-01,000779.SZ,-5.3249
166218,2016-04-01,002105.SZ,-0.4505
166219,2016-04-01,002314.SZ,0.0
166220,2016-04-01,603696.SH,-2.253
166221,2016-04-01,600645.SH,-2.0081
166222,2016-04-01,600225.SH,0.7117
166223,2016-04-01,600975.SH,-2.7799
166224,2016-04-01,000573.SZ,1.1842
166225,2016-04-01,600973.SH,-1.2522
166226,2016-04-01,000613.SZ,-3.3859
166227,2016-04-01,600355.SH,0.2525
166228,2016-04-01,600031.SH,-0.703
166229,2016-04-01,000612.SZ,0.0
166230,2016-04-01,300436.SZ,0.0
166231,2016-04-01,600620.SH,-2.05
166232,2016-04-01,002755.SZ,-1.5566
166233,2016-04-01,300445.SZ,-2.7523
166234,2016-04-01,603608.SH,2.2648
166235,2016-04-01,300448.SZ,0.1106
166236,2016-04-01,002171.SZ,-1.6383
166237,2016-04-01,002174.SZ,4.1574
166238,2016-04-01,002176.SZ,-1.203
166239,2016-04-01,600958.SH,-2.0679
166240,2016-04-01,000502.SZ,0.3294
166241,2016-04-01,601968.SH,-2.0619
166242,2016-04-01,000600.SZ,2.1858
166243,2016-04-01,603919.SH,0.588
166244,2016-04-01,600751.SH,0.0
166245,2016-04-01,300466.SZ,0.0
166246,2016-04-01,601985.SH,-0.1295
166247,2016-04-01,603116.SH,2.1851
166248,2016-04-01,600738.SH,0.0
166249,2016-04-01,300505.SZ,-0.3677
166250,2016-04-01,603520.SH,-1.1153
166251,2016-04-01,002090.SZ,-1.4706
166252,2016-04-01,002367.SZ,0.207
166253,2016-04-01,002093.SZ,-1.5966
166254,2016-04-01,600568.SH,-1.5934
166255,2016-04-01,000420.SZ,0.4969
166256,2016-04-01,000601.SZ,2.907
166257,2016-04-01,600426.SH,-0.579
166258,2016-04-01,000421.SZ,0.1323
166259,2016-04-01,000606.SZ,-5.0048
166260,2016-04-01,002435.SZ,-0.8383
166261,2016-04-01,000958.SZ,-1.3963
166262,2016-04-01,600897.SH,-0.3566
166263,2016-04-01,000961.SZ,0.8951
166264,2016-04-01,000727.SZ,-1.3812
166265,2016-04-01,000514.SZ,-2.4494
166266,2016-04-01,002077.SZ,6.8125
166267,2016-04-01,600900.SH,1.6287
166268,2016-04-01,600219.SH,7.781
166269,2016-04-01,601918.SH,0.9585
166270,2016-04-01,600679.SH,-1.0404
166271,2016-04-01,002023.SZ,0.6931
166272,2016-04-01,000985.SZ,0.3493
166273,2016-04-01,000410.SZ,-1.662
166274,2016-04-01,600030.SH,-0.5618
166275,2016-04-01,002054.SZ,-5.8566
166276,2016-04-01,000983.SZ,4.9137
166277,2016-04-01,600892.SH,-0.6998
166278,2016-04-01,000892.SZ,-2.8202
166279,2016-04-01,000720.SZ,0.0
166280,2016-04-01,000035.SZ,1.5209
166281,2016-04-01,002297.SZ,-1.8116
166282,2016-04-01,002343.SZ,-4.0833
166283,2016-04-01,000032.SZ,-1.5927
166284,2016-04-01,600682.SH,-0.6173
166285,2016-04-01,000987.SZ,-1.8519
166286,2016-04-01,600135.SH,-3.3271
166287,2016-04-01,600883.SH,2.0915
166288,2016-04-01,600877.SH,0.0
166289,2016-04-01,600229.SH,-0.2351
166290,2016-04-01,603030.SH,0.1462
166291,2016-04-01,000657.SZ,10.0184
166292,2016-04-01,603199.SH,2.809
166293,2016-04-01,002383.SZ,-2.7324
166294,2016-04-01,300054.SZ,-3.8164
166295,2016-04-01,002759.SZ,0.0
166296,2016-04-01,000693.SZ,0.0
166297,2016-04-01,002145.SZ,3.9922
166298,2016-04-01,601226.SH,-1.0913
166299,2016-04-01,300484.SZ,9.9981
166300,2016-04-01,002403.SZ,-0.9585
166301,2016-04-01,000732.SZ,1.9737
166302,2016-04-01,300432.SZ,0.0
166303,2016-04-01,000655.SZ,2.1792
166304,2016-04-01,000933.SZ,2.2648
166305,2016-04-01,600651.SH,-1.5246
166306,2016-04-01,002731.SZ,1.1102
166307,2016-04-01,000692.SZ,-1.4134
166308,2016-04-01,603066.SH,-1.896
166309,2016-04-01,000729.SZ,-2.3129
166310,2016-04-01,002432.SZ,-3.8193
166311,2016-04-01,000901.SZ,-1.2475
166312,2016-04-01,000040.SZ,-0.6891
166313,2016-04-01,002758.SZ,-1.6371
166314,2016-04-01,601001.SH,0.0
166315,2016-04-01,000005.SZ,-1.8253
166316,2016-04-01,000004.SZ,0.0
166317,2016-04-01,601678.SH,0.0
166318,2016-04-01,601003.SH,1.6575
166319,2016-04-01,002787.SZ,-1.5645
166320,2016-04-01,603020.SH,-1.191
166321,2016-04-01,000007.SZ,0.0
166322,2016-04-01,000695.SZ,-0.5031
166323,2016-04-01,000936.SZ,1.3245
166324,2016-04-01,000501.SZ,-0.8088
166325,2016-04-01,600621.SH,1.5549
166326,2016-04-01,300086.SZ,2.8473
166327,2016-04-01,600633.SH,-2.6901
166328,2016-04-01,600310.SH,0.125
166329,2016-04-01,002313.SZ,-3.2319
166330,2016-04-01,002117.SZ,0.0935
166331,2016-04-01,000778.SZ,0.5556
166332,2016-04-01,002115.SZ,-1.1586
166333,2016-04-01,002078.SZ,1.0893
166334,2016-04-01,002112.SZ,0.0
166335,2016-04-01,600418.SH,-1.847
166336,2016-04-01,600339.SH,0.0
166337,2016-04-01,002109.SZ,0.3115
166338,2016-04-01,000407.SZ,5.3191
166339,2016-04-01,002074.SZ,-1.933
166340,2016-04-01,600345.SH,-2.4413
166341,2016-04-01,601069.SH,-1.189
166342,2016-04-01,300480.SZ,-3.8584
166343,2016-04-01,603601.SH,-2.0718
166344,2016-04-01,600011.SH,0.6274
166345,2016-04-01,603969.SH,5.0587
166346,2016-04-01,603999.SH,-2.2721
166347,2016-04-01,603901.SH,-0.6733
166348,2016-04-01,002387.SZ,10.0073
166349,2016-04-01,600312.SH,2.3733
166350,2016-04-01,603788.SH,-1.8596
166351,2016-04-01,002770.SZ,1.2593
166352,2016-04-01,600006.SH,0.0
166353,2016-04-01,300406.SZ,-0.9545
166354,2016-04-01,002776.SZ,-7.5812
166355,2016-04-01,002404.SZ,-0.2717
166356,2016-04-01,603818.SH,-1.9255
166357,2016-04-01,002361.SZ,-1.9608
166358,2016-04-01,002409.SZ,-0.1427
166359,2016-04-01,002027.SZ,10.013
166360,2016-04-01,002139.SZ,-2.1436
166361,2016-04-01,002035.SZ,2.9826
166362,2016-04-01,600575.SH,0.0
166363,2016-04-01,002051.SZ,0.3058
166364,2016-04-01,000547.SZ,0.2011
166365,2016-04-01,002006.SZ,0.0
166366,2016-04-01,601999.SH,-0.9346
166367,2016-04-01,600502.SH,0.0
166368,2016-04-01,600257.SH,6.0
166369,2016-04-01,603686.SH,0.7644
166370,2016-04-01,000541.SZ,-2.3983
166371,2016-04-01,000565.SZ,0.0
166372,2016-04-01,600288.SH,-2.4544
166373,2016-04-01,000560.SZ,1.0784
166374,2016-04-01,002024.SZ,-1.6594
166375,2016-04-01,000728.SZ,-1.8359
166376,2016-04-01,600309.SH,2.6441
166377,2016-04-01,002290.SZ,-1.5345
166378,2016-04-01,002292.SZ,-2.9477
166379,2016-04-01,002136.SZ,8.0702
166380,2016-04-01,000686.SZ,-2.6855
166381,2016-04-01,002279.SZ,1.6316
166382,2016-04-01,000423.SZ,-0.6385
166383,2016-04-01,002113.SZ,1.875
166384,2016-04-01,601998.SH,0.3295
166385,2016-04-01,600391.SH,-1.9119
166386,2016-04-01,600997.SH,0.3899
166387,2016-04-01,002275.SZ,0.0592
166388,2016-04-01,002419.SZ,0.0725
166389,2016-04-01,300291.SZ,-3.1935
166390,2016-04-01,000679.SZ,-1.4296
166391,2016-04-01,601808.SH,0.6163
166392,2016-04-01,002029.SZ,-1.7094
166393,2016-04-01,600993.SH,-0.5938
166394,2016-04-01,000932.SZ,0.0
166395,2016-04-01,300379.SZ,-2.8315
166396,2016-04-01,603099.SH,-1.6455
166397,2016-04-01,600048.SH,0.431
166398,2016-04-01,600396.SH,2.5194
166399,2016-04-01,300031.SZ,-2.8524
166400,2016-04-01,000886.SZ,-0.1869
166401,2016-04-01,000883.SZ,-1.2739
166402,2016-04-01,002017.SZ,-1.9894
166403,2016-04-01,002189.SZ,-4.7525
166404,2016-04-01,002188.SZ,2.9842
166405,2016-04-01,002018.SZ,0.0
166406,2016-04-01,000009.SZ,-2.4035
166407,2016-04-01,000550.SZ,0.5309
166408,2016-04-01,000889.SZ,-0.8929
166409,2016-04-01,000737.SZ,0.1757
166410,2016-04-01,002045.SZ,-1.8005
166411,2016-04-01,002046.SZ,0.0
166412,2016-04-01,002389.SZ,0.0
166413,2016-04-01,000731.SZ,-0.6402
166414,2016-04-01,000887.SZ,-3.241
166415,2016-04-01,002544.SZ,0.0
166416,2016-04-01,000543.SZ,-0.2874
166417,2016-04-01,002212.SZ,-0.2227
166418,2016-04-01,002309.SZ,2.4339
166419,2016-04-01,002439.SZ,0.0
166420,2016-04-01,600055.SH,-2.2362
166421,2016-04-01,000850.SZ,5.9932
166422,2016-04-01,600080.SH,-1.8784
166423,2016-04-01,300063.SZ,0.0
166424,2016-04-01,002336.SZ,-1.1858
166425,2016-04-01,600683.SH,-0.9677
166426,2016-04-01,000036.SZ,0.2472
166427,2016-04-01,002320.SZ,-1.9741
166428,2016-04-01,000897.SZ,1.7241
166429,2016-04-01,600038.SH,-1.5165
166430,2016-04-01,000411.SZ,-1.116
166431,2016-04-01,002232.SZ,-2.1144
166432,2016-04-01,000415.SZ,0.0
166433,2016-04-01,000937.SZ,2.0873
166434,2016-04-01,000503.SZ,-2.3061
166435,2016-04-01,600050.SH,3.4169
166436,2016-04-01,002407.SZ,3.5659
166437,2016-04-01,002443.SZ,-1.2512
166438,2016-04-01,600655.SH,0.3891
166439,2016-04-01,002271.SZ,3.9076
166440,2016-04-01,002126.SZ,-0.6725
166441,2016-04-01,000045.SZ,-3.2233
166442,2016-04-01,300287.SZ,0.0
166443,2016-04-01,002190.SZ,-2.8571
166444,2016-04-01,600593.SH,-2.903
166445,2016-04-01,600397.SH,1.006
166446,2016-04-01,600051.SH,-0.9756
166447,2016-04-01,600236.SH,2.0
166448,2016-04-01,600086.SH,-0.3226
166449,2016-04-01,000625.SZ,-2.3462
166450,2016-04-01,002163.SZ,-1.2563
166451,2016-04-01,000617.SZ,-4.386
166452,2016-04-01,002120.SZ,-0.0827
166453,2016-04-01,002164.SZ,0.0
166454,2016-04-01,600730.SH,-3.3768
166455,2016-04-01,002122.SZ,-0.7331
166456,2016-04-01,002227.SZ,-3.2026
166457,2016-04-01,002211.SZ,0.0
166458,2016-04-01,002125.SZ,-1.0216
166459,2016-04-01,000668.SZ,1.4409
166460,2016-04-01,002743.SZ,0.9282
166461,2016-04-01,000687.SZ,-3.0151
166462,2016-04-01,002293.SZ,0.0
166463,2016-04-01,000099.SZ,-3.6145
166464,2016-04-01,601866.SH,0.6466
166465,2016-04-01,600721.SH,0.9747
166466,2016-04-01,000680.SZ,-0.3795
166467,2016-04-01,002374.SZ,5.5057
166468,2016-04-01,000070.SZ,0.7414
166469,2016-04-01,000738.SZ,-1.7094
166470,2016-04-01,600305.SH,-1.3599
166471,2016-04-01,600000.SH,1.3943
166472,2016-04-01,002762.SZ,0.0
166473,2016-04-01,600005.SH,3.7801
166474,2016-04-01,600008.SH,1.6548
166475,2016-04-01,300098.SZ,-1.4925
166476,2016-04-01,000418.SZ,1.854
166477,2016-04-01,000705.SZ,-0.0805
166478,2016-04-01,002137.SZ,5.7488
166479,2016-04-01,600978.SH,-1.528
166480,2016-04-01,002228.SZ,0.888
166481,2016-04-01,600961.SH,-0.7843
166482,2016-04-01,600199.SH,-1.9093
166483,2016-04-01,600208.SH,-0.2481
166484,2016-04-01,600616.SH,1.2012
166485,2016-04-01,600615.SH,-0.442
166486,2016-04-01,600187.SH,-1.2048
166487,2016-04-01,600153.SH,0.0
166488,2016-04-01,600861.SH,-1.3778
166489,2016-04-01,001872.SZ,-2.3865
166490,2016-04-01,600149.SH,-0.1574
166491,2016-04-01,600529.SH,-0.6443
166492,2016-04-01,600513.SH,0.0
166493,2016-04-01,600512.SH,2.4038
166494,2016-04-01,002133.SZ,1.387
166495,2016-04-01,600561.SH,-1.2872
166496,2016-04-01,002342.SZ,-0.8251
166497,2016-04-01,600785.SH,-2.8592
166498,2016-04-01,002146.SZ,0.2755
166499,2016-04-01,600015.SH,0.689
166500,2016-04-01,002632.SZ,-1.9862
166501,2016-04-01,300071.SZ,0.0
166502,2016-04-01,300015.SZ,0.5362
166503,2016-04-01,002168.SZ,0.0
166504,2016-04-01,300245.SZ,-2.9972
166505,2016-04-01,002056.SZ,3.6539
166506,2016-04-01,300254.SZ,-1.3364
166507,2016-04-01,002140.SZ,-0.9602
166508,2016-04-01,300282.SZ,-2.9155
166509,2016-04-01,601258.SH,0.0
166510,2016-04-01,600767.SH,-1.8745
166511,2016-04-01,600302.SH,2.1127
166512,2016-04-01,600722.SH,2.6814
166513,2016-04-01,300065.SZ,-0.3513
166514,2016-04-01,600114.SH,-2.6532
166515,2016-04-01,300487.SZ,2.0283
166516,2016-04-01,603100.SH,-0.899
166517,2016-04-01,300399.SZ,-3.4529
166518,2016-04-01,600215.SH,0.0
166519,2016-04-01,300241.SZ,0.4545
166520,2016-04-01,600282.SH,0.7634
166521,2016-04-01,603968.SH,-0.2074
166522,2016-04-01,002775.SZ,6.6444
166523,2016-04-01,603669.SH,-1.6014
166524,2016-04-01,000995.SZ,0.8844
166525,2016-04-01,002749.SZ,0.1207
166526,2016-04-01,603198.SH,-0.8675
166527,2016-04-01,600609.SH,5.9809
166528,2016-04-01,300029.SZ,-2.7318
166529,2016-04-01,002771.SZ,0.0
166530,2016-04-01,002786.SZ,-2.608
166531,2016-04-01,603027.SH,0.9747
166532,2016-04-01,600486.SH,-1.6136
166533,2016-04-01,002252.SZ,-0.524
166534,2016-04-01,600444.SH,2.9093
166535,2016-04-01,300497.SZ,1.5703
166536,2016-04-01,600618.SH,-0.4895
166537,2016-04-01,002229.SZ,-3.3333
166538,2016-04-01,600624.SH,-2.5983
166539,2016-04-01,600626.SH,-0.8453
166540,2016-04-01,000908.SZ,-2.4818
166541,2016-04-01,600084.SH,10.0164
166542,2016-04-01,300449.SZ,-0.691
166543,2016-04-01,000951.SZ,-2.2622
166544,2016-04-01,603898.SH,0.0
166545,2016-04-01,300393.SZ,-1.7189
166546,2016-04-01,600129.SH,0.1194
166547,2016-04-01,600343.SH,-0.6247
166548,2016-04-01,600350.SH,2.3091
166549,2016-04-01,000008.SZ,-0.2775
166550,2016-04-01,000735.SZ,-1.2414
166551,2016-04-01,000739.SZ,0.3026
166552,2016-04-01,300451.SZ,-2.1998
166553,2016-04-01,600125.SH,1.138
166554,2016-04-01,600303.SH,-3.108
166555,2016-04-01,002415.SZ,-1.0383
166556,2016-04-01,000733.SZ,-1.8102
166557,2016-04-01,000518.SZ,0.7278
166558,2016-04-01,600810.SH,-0.2695
166559,2016-04-01,600105.SH,0.0
166560,2016-04-01,000748.SZ,-2.5478
166561,2016-04-01,002748.SZ,0.0
166562,2016-04-01,002107.SZ,3.7417
166563,2016-04-01,000623.SZ,-1.4036
166564,2016-04-01,600811.SH,-0.2924
166565,2016-04-01,600419.SH,-0.0595
166566,2016-04-01,002053.SZ,4.4277
166567,2016-04-01,603606.SH,-2.4476
166568,2016-04-01,300396.SZ,-0.9371
166569,2016-04-01,600383.SH,1.8933
166570,2016-04-01,000609.SZ,-1.1597
166571,2016-04-01,000597.SZ,1.069
166572,2016-04-01,300374.SZ,-3.0132
166573,2016-04-01,600195.SH,1.0
166574,2016-04-01,600764.SH,1.3158
166575,2016-04-01,000856.SZ,5.06
166576,2016-04-01,600725.SH,2.1776
166577,2016-04-01,002231.SZ,-4.1134
166578,2016-04-01,600490.SH,-1.8476
166579,2016-04-01,600258.SH,0.0
166580,2016-04-01,600429.SH,-1.2414
166581,2016-04-01,600487.SH,-1.5411
166582,2016-04-01,002427.SZ,0.0
166583,2016-04-01,600108.SH,-0.8945
166584,2016-04-01,603599.SH,2.797
166585,2016-04-01,002406.SZ,-0.5605
166586,2016-04-01,000988.SZ,-2.7778
166587,2016-04-01,300368.SZ,1.8777
166588,2016-04-01,002393.SZ,-0.1847
166589,2016-04-01,000065.SZ,-2.2067
166590,2016-04-01,002621.SZ,-1.0503
166591,2016-04-01,300059.SZ,-2.9345
166592,2016-04-01,002583.SZ,-1.6553
166593,2016-04-01,002626.SZ,-3.082
166594,2016-04-01,300217.SZ,2.0434
166595,2016-04-01,601058.SH,-0.6046
166596,2016-04-01,300363.SZ,-2.7315
166597,2016-04-01,000619.SZ,1.6008
166598,2016-04-01,000059.SZ,5.0193
166599,2016-04-01,603566.SH,1.0643
166600,2016-04-01,000979.SZ,-0.3268
166601,2016-04-01,600917.SH,-3.0631
166602,2016-04-01,000048.SZ,-1.1583
166603,2016-04-01,000043.SZ,-0.5447
166604,2016-04-01,002741.SZ,-5.2023
166605,2016-04-01,002421.SZ,-3.1813
166606,2016-04-01,002782.SZ,-3.0113
166607,2016-04-01,000607.SZ,-0.5353
166608,2016-04-01,600109.SH,-2.079
166609,2016-04-01,300087.SZ,-2.0035
166610,2016-04-01,600267.SH,-2.4105
166611,2016-04-01,600279.SH,-1.4041
166612,2016-04-01,600221.SH,1.2618
166613,2016-04-01,002312.SZ,0.0
166614,2016-04-01,600648.SH,-1.806
166615,2016-04-01,600639.SH,-1.8702
166616,2016-04-01,600642.SH,-0.1647
166617,2016-04-01,600278.SH,0.7102
166618,2016-04-01,600643.SH,0.0
166619,2016-04-01,600644.SH,-0.6623
166620,2016-04-01,600685.SH,-1.7001
166621,2016-04-01,300442.SZ,-4.2414
166622,2016-04-01,000037.SZ,0.0
166623,2016-04-01,600766.SH,2.1816
166624,2016-04-01,603028.SH,9.9511
166625,2016-04-01,000898.SZ,0.9852
166626,2016-04-01,300404.SZ,-0.8683
166627,2016-04-01,600981.SH,-0.4228
166628,2016-04-01,600971.SH,0.9398
166629,2016-04-01,000050.SZ,-2.7998
166630,2016-04-01,600285.SH,-0.7805
166631,2016-04-01,600816.SH,-1.1926
166632,2016-04-01,600130.SH,10.0346
166633,2016-04-01,000608.SZ,0.0
166634,2016-04-01,002341.SZ,-1.6781
166635,2016-04-01,600566.SH,-0.8757
166636,2016-04-01,600636.SH,-2.2628
166637,2016-04-01,002173.SZ,0.5277
166638,2016-04-01,600515.SH,-1.7354
166639,2016-04-01,300274.SZ,-0.8609
166640,2016-04-01,300101.SZ,-1.9775
166641,2016-04-01,600724.SH,0.0
166642,2016-04-01,603838.SH,0.0
166643,2016-04-01,600966.SH,-1.1396
166644,2016-04-01,002352.SZ,0.0723
166645,2016-04-01,000885.SZ,-0.4335
166646,2016-04-01,600839.SH,1.2563
166647,2016-04-01,002412.SZ,-2.1893
166648,2016-04-01,601989.SH,-1.1127
166649,2016-04-01,600827.SH,0.0707
166650,2016-04-01,600527.SH,-1.3889
166651,2016-04-01,300269.SZ,-2.3509
166652,2016-04-01,300210.SZ,0.0
166653,2016-04-01,300424.SZ,-1.4128
166654,2016-04-01,002305.SZ,6.0377
166655,2016-04-01,601015.SH,0.533
166656,2016-04-01,000757.SZ,0.0
166657,2016-04-01,002025.SZ,1.1853
166658,2016-04-01,600074.SH,2.8571
166659,2016-04-01,600635.SH,-1.0101
166660,2016-04-01,000616.SZ,0.9042
166661,2016-04-01,002300.SZ,2.1632
166662,2016-04-01,600231.SH,-3.1509
166663,2016-04-01,000990.SZ,0.0
166664,2016-04-01,002198.SZ,-1.5251
166665,2016-04-01,300475.SZ,-1.3147
166666,2016-04-01,600235.SH,-2.485
166667,2016-04-01,002405.SZ,0.0
166668,2016-04-01,002402.SZ,-1.341
166669,2016-04-01,600653.SH,0.2457
166670,2016-04-01,300298.SZ,0.0
166671,2016-04-01,603883.SH,-1.5598
166672,2016-04-01,000561.SZ,-2.2936
166673,2016-04-01,300042.SZ,1.1838
166674,2016-04-01,600269.SH,0.0
166675,2016-04-01,300407.SZ,-2.6403
166676,2016-04-01,300403.SZ,-0.6562
166677,2016-04-01,002165.SZ,6.3613
166678,2016-04-01,002733.SZ,-0.7765
166679,2016-04-01,002052.SZ,0.0
166680,2016-04-01,002169.SZ,-1.2864
166681,2016-04-01,603355.SH,-1.5582
166682,2016-04-01,002384.SZ,-3.4958
166683,2016-04-01,000564.SZ,-1.848
166684,2016-04-01,002779.SZ,-1.125
166685,2016-04-01,601969.SH,0.1637
166686,2016-04-01,002170.SZ,-1.1013
166687,2016-04-01,600016.SH,1.427
166688,2016-04-01,300384.SZ,0.0
166689,2016-04-01,600560.SH,0.0
166690,2016-04-01,603866.SH,-1.7037
166691,2016-04-01,300486.SZ,-3.002
166692,2016-04-01,000922.SZ,-1.3699
166693,2016-04-01,603318.SH,0.0
166694,2016-04-01,600654.SH,0.0
166695,2016-04-01,000517.SZ,2.7484
166696,2016-04-01,000962.SZ,0.0
166697,2016-04-01,300492.SZ,-1.6866
166698,2016-04-01,603996.SH,-1.6996
166699,2016-04-01,002377.SZ,1.627
166700,2016-04-01,002538.SZ,-3.2901
166701,2016-04-01,300380.SZ,-0.9637
166702,2016-04-01,601117.SH,1.0204
166703,2016-04-01,000089.SZ,-1.0922
166704,2016-04-01,600959.SH,-1.2154
166705,2016-04-01,600713.SH,0.0
166706,2016-04-01,600754.SH,-0.1464
166707,2016-04-01,600535.SH,0.4893
166708,2016-04-01,300482.SZ,3.5689
166709,2016-04-01,000422.SZ,-0.471
166710,2016-04-01,600757.SH,-0.8772
166711,2016-04-01,002788.SZ,1.1022
166712,2016-04-01,002433.SZ,0.6856
166713,2016-04-01,300365.SZ,-1.1648
166714,2016-04-01,000301.SZ,0.0
